ticker,name,sector,cik
CVS,CVS Health,Health Care,0000064803
DHR,Danaher Corporation,Health Care,0000313616
DRI,Darden Restaurants,Consumer Discretionary,0000940944
DDOG,Datadog,Information Technology,0001561550
DVA,DaVita,Health Care,0000927066
DECK,Deckers Brands,Consumer Discretionary,0000910521
DE,Deere & Company,Industrials,0000315189
DELL,Dell Technologies,Information Technology,0001571996
DAL,Delta Air Lines,Industrials,0000027904
DVN,Devon Energy,Energy,0001090012
DXCM,Dexcom,Health Care,0001093557
FANG,Diamondback Energy,Energy,0001539838
DLR,Digital Realty,Real Estate,0001297996
DG,Dollar General,Consumer Staples,0000029534
DLTR,Dollar Tree,Consumer Staples,0000935703
D,Dominion Energy,Utilities,0000715957
DPZ,Domino's,Consumer Discretionary,0001286681
DASH,DoorDash,Consumer Discretionary,0001792789
DOV,Dover Corporation,Industrials,0000029905
DOW,Dow Inc.,Materials,0001751788
DHI,D. R. Horton,Consumer Discretionary,0000882184
DTE,DTE Energy,Utilities,0000936340
DUK,Duke Energy,Utilities,0001326160
DD,DuPont,Industrials,0001666700
ETN,Eaton Corporation,Industrials,0001551182
EBAY,eBay Inc.,Consumer Discretionary,0001065088
ECHO,EchoStar,Communication Services,0001415404
ECL,Ecolab,Materials,0000031462
EIX,Edison International,Utilities,0000827052
EW,Edwards Lifesciences,Health Care,0001099800
ELV,Elevance Health,Health Care,0001156039
EME,Emcor,Industrials,0000105634
EMR,Emerson Electric,Industrials,0000032604
ETR,Entergy,Utilities,0000065984
EOG,EOG Resources,Energy,0000821189
EQT,EQT Corporation,Energy,0000033213
EFX,Equifax,Industrials,0000033185
EQIX,Equinix,Real Estate,0001101239
EQR,Equity Residential,Real Estate,0000906107
ERIE,Erie Indemnity,Financials,0000922621
ESS,Essex Property Trust,Real Estate,0000920522
EL,Estée Lauder Companies (The),Consumer Staples,0001001250
EG,Everest Group,Financials,0001095073
EVRG,Evergy,Utilities,0001711269
ES,Eversource Energy,Utilities,0000072741
EXC,Exelon,Utilities,0001109357
EXE,Expand Energy,Energy,0000895126
EXPE,Expedia Group,Consumer Discretionary,0001324424
EXPD,Expeditors International,Industrials,0000746515
EXR,Extra Space Storage,Real Estate,0001289490
XOM,ExxonMobil,Energy,0002115436
FFIV,"F5, Inc.",Information Technology,0001048695
FDS,FactSet,Financials,0001013237
FICO,Fair Isaac,Information Technology,0000814547
FAST,Fastenal,Industrials,0000815556
FRT,Federal Realty Investment Trust,Real Estate,0000034903
FDX,FedEx,Industrials,0001048911
FDXF,FedEx Freight,Industrials,0002082247
FERG,Ferguson Enterprises,Industrials,0002011641
FIS,Fidelity National Information Services,Financials,0001136893
FITB,Fifth Third Bancorp,Financials,0000035527
FSLR,First Solar,Information Technology,0001274494
FE,FirstEnergy,Utilities,0001031296
FISV,Fiserv,Financials,0000798354
FLEX,Flex Ltd.,Information Technology,0000866374
F,Ford Motor Company,Consumer Discretionary,0000037996
FTNT,Fortinet,Information Technology,0001262039
FTV,Fortive,Industrials,0001659166
FOXA,Fox Corporation (Class A),Communication Services,0001754301
FOX,Fox Corporation (Class B),Communication Services,0001754301
BEN,Franklin Resources,Financials,0000038777
FCX,Freeport-McMoRan,Materials,0000831259
GRMN,Garmin,Consumer Discretionary,0001121788
IT,Gartner,Information Technology,0000749251
GE,GE Aerospace,Industrials,0000040545
GEHC,GE HealthCare,Health Care,0001932393
GEV,GE Vernova,Industrials,0001996810
GEN,Gen Digital,Information Technology,0000849399
GNRC,Generac,Industrials,0001474735
GD,General Dynamics,Industrials,0000040533
GIS,General Mills,Consumer Staples,0000040704
GM,General Motors,Consumer Discretionary,0001467858
GPC,Genuine Parts Company,Consumer Discretionary,0000040987
GILD,Gilead Sciences,Health Care,0000882095
GPN,Global Payments,Financials,0001123360
GL,Globe Life,Financials,0000320335
GDDY,GoDaddy,Information Technology,0001609711
GS,Goldman Sachs,Financials,0000886982
HAL,Halliburton,Energy,0000045012
HIG,Hartford (The),Financials,0000874766
HAS,Hasbro,Consumer Discretionary,0000046080
HCA,HCA Healthcare,Health Care,0000860730
DOC,Healthpeak Properties,Real Estate,0000765880
HSIC,Henry Schein,Health Care,0001000228
HSY,Hershey Company (The),Consumer Staples,0000047111
HPE,Hewlett Packard Enterprise,Information Technology,0001645590
HLT,Hilton Worldwide,Consumer Discretionary,0001585689
HD,Home Depot (The),Consumer Discretionary,0000354950
HONA,Honeywell Aerospace,Industrials,0002089271
HON,Honeywell Technologies,Industrials,0000773840
HRL,Hormel Foods,Consumer Staples,0000048465
HST,Host Hotels & Resorts,Real Estate,0001070750
HWM,Howmet Aerospace,Industrials,0000004281
HPQ,HP Inc.,Information Technology,0000047217
HUBB,Hubbell Incorporated,Industrials,0000048898
HUM,Humana,Health Care,0000049071
HBAN,Huntington Bancshares,Financials,0000049196
HII,Huntington Ingalls Industries,Industrials,0001501585
IBM,IBM,Information Technology,0000051143
IEX,IDEX Corporation,Industrials,0000832101
IDXX,Idexx Laboratories,Health Care,0000874716
ITW,Illinois Tool Works,Industrials,0000049826
INCY,Incyte,Health Care,0000879169
IR,Ingersoll Rand,Industrials,0001699150
PODD,Insulet Corporation,Health Care,0001145197
INTC,Intel,Information Technology,0000050863
IBKR,Interactive Brokers,Financials,0001381197
ICE,Intercontinental Exchange,Financials,0001571949
IFF,International Flavors & Fragrances,Materials,0000051253
IP,International Paper,Materials,0000051434
INTU,Intuit,Information Technology,0000896878
ISRG,Intuitive Surgical,Health Care,0001035267
IVZ,Invesco,Financials,0000914208
INVH,Invitation Homes,Real Estate,0001687229
IQV,IQVIA,Health Care,0001478242
IRM,Iron Mountain,Real Estate,0001020569
JBHT,J.B. Hunt,Industrials,0000728535
JBL,Jabil,Information Technology,0000898293
JKHY,Jack Henry & Associates,Financials,0000779152
J,Jacobs Solutions,Industrials,0000052988
JNJ,Johnson & Johnson,Health Care,0000200406
JCI,Johnson Controls,Industrials,0000833444
JPM,JPMorgan Chase,Financials,0000019617
KVUE,Kenvue,Consumer Staples,0001944048
KDP,Keurig Dr Pepper,Consumer Staples,0001418135
KEY,KeyCorp,Financials,0000091576
KEYS,Keysight Technologies,Information Technology,0001601046
KMB,Kimberly-Clark,Consumer Staples,0000055785
KIM,Kimco Realty,Real Estate,0000879101
KMI,Kinder Morgan,Energy,0001506307
KKR,KKR & Co.,Financials,0001404912
KLAC,KLA Corporation,Information Technology,0000319201
KHC,Kraft Heinz,Consumer Staples,0001637459
KR,Kroger,Consumer Staples,0000056873
LHX,L3Harris,Industrials,0000202058
LH,Labcorp,Health Care,0000920148
LRCX,Lam Research,Information Technology,0000707549
LVS,Las Vegas Sands,Consumer Discretionary,0001300514
LDOS,Leidos,Industrials,0001336920
LEN,Lennar,Consumer Discretionary,0000920760
LII,Lennox International,Industrials,0001069202
LLY,Lilly (Eli),Health Care,0000059478
LIN,Linde plc,Materials,0001707925
LYV,Live Nation Entertainment,Communication Services,0001335258
LMT,Lockheed Martin,Industrials,0000936468
L,Loews Corporation,Financials,0000060086
LOW,Lowe's,Consumer Discretionary,0000060667
LULU,Lululemon Athletica,Consumer Discretionary,0001397187
LITE,Lumentum,Information Technology,0001633978
LYB,LyondellBasell,Materials,0001489393
MTB,M&T Bank,Financials,0000036270
MPC,Marathon Petroleum,Energy,0001510295
MAR,Marriott International,Consumer Discretionary,0001048286
MRSH,Marsh McLennan,Financials,0000062709
MLM,Martin Marietta Materials,Materials,0000916076
MRVL,Marvell Technology,Information Technology,0001835632
MAS,Masco,Industrials,0000062996
MA,Mastercard,Financials,0001141391
MKC,McCormick & Company,Consumer Staples,0000063754
MCD,McDonald's,Consumer Discretionary,0000063908
MCK,McKesson Corporation,Health Care,0000927653
MDT,Medtronic,Health Care,0001613103
MRK,Merck & Co.,Health Care,0000310158
META,Meta Platforms,Communication Services,0001326801
MET,MetLife,Financials,0001099219
MTD,Mettler Toledo,Health Care,0001037646
MGM,MGM Resorts,Consumer Discretionary,0000789570
MCHP,Microchip Technology,Information Technology,0000827054
MU,Micron Technology,Information Technology,0000723125
MSFT,Microsoft,Information Technology,0000789019
MAA,Mid-America Apartment Communities,Real Estate,0000912595
MRNA,Moderna,Health Care,0001682852
TAP,Molson Coors Beverage Company,Consumer Staples,0000024545
MDLZ,Mondelez International,Consumer Staples,0001103982
MPWR,Monolithic Power Systems,Information Technology,0001280452
MNST,Monster Beverage,Consumer Staples,0000865752
MCO,Moody's Corporation,Financials,0001059556
MS,Morgan Stanley,Financials,0000895421
MOS,Mosaic Company (The),Materials,0001285785
MSI,Motorola Solutions,Information Technology,0000068505
MSCI,MSCI,Financials,0001408198
NDAQ,"Nasdaq, Inc.",Financials,0001120193
NTAP,NetApp,Information Technology,0001002047
NFLX,Netflix,Communication Services,0001065280
NEM,Newmont,Materials,0001164727
NWSA,News Corp (Class A),Communication Services,0001564708
NWS,News Corp (Class B),Communication Services,0001564708
NEE,NextEra Energy,Utilities,0000753308
NKE,"Nike, Inc.",Consumer Discretionary,0000320187
NI,NiSource,Utilities,0001111711
NDSN,Nordson Corporation,Industrials,0000072331
NSC,Norfolk Southern,Industrials,0000702165
NTRS,Northern Trust,Financials,0000073124
NOC,Northrop Grumman,Industrials,0001133421
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0001513761
NRG,NRG Energy,Utilities,0001013871
NUE,Nucor,Materials,0000073309
NVDA,Nvidia,Information Technology,0001045810
NVR,"NVR, Inc.",Consumer Discretionary,0000906163
NXPI,NXP Semiconductors,Information Technology,0001413447
ORLY,O'Reilly Automotive,Consumer Discretionary,0000898173
OXY,Occidental Petroleum,Energy,0000797468
ODFL,Old Dominion,Industrials,0000878927
OMC,Omnicom Group,Communication Services,0000029989
ON,ON Semiconductor,Information Technology,0001097864
OKE,Oneok,Energy,0001039684
ORCL,Oracle Corporation,Information Technology,0001341439
OTIS,Otis Worldwide,Industrials,0001781335
PCAR,Paccar,Industrials,0000075362
PKG,Packaging Corporation of America,Materials,0000075677
PLTR,Palantir Technologies,Information Technology,0001321655
PANW,Palo Alto Networks,Information Technology,0001327567
PSKY,Paramount Skydance Corporation,Communication Services,0002041610
PH,Parker Hannifin,Industrials,0000076334
PAYX,Paychex,Industrials,0000723531
PYPL,PayPal,Financials,0001633917
PNR,Pentair,Industrials,0000077360
PEP,PepsiCo,Consumer Staples,0000077476
PFE,Pfizer,Health Care,0000078003
PCG,PG&E Corporation,Utilities,0001004980
PM,Philip Morris International,Consumer Staples,0001413329
PSX,Phillips 66,Energy,0001534701
PNW,Pinnacle West Capital,Utilities,0000764622
PNC,PNC Financial Services,Financials,0000713676
PPG,PPG Industries,Materials,0000079879
PPL,PPL Corporation,Utilities,0000922224
PFG,Principal Financial Group,Financials,0001126328
PG,Procter & Gamble,Consumer Staples,0000080424
PGR,Progressive Corporation,Financials,0000080661
PLD,Prologis,Real Estate,0001045609
PRU,Prudential Financial,Financials,0001137774
PEG,Public Service Enterprise Group,Utilities,0000788784
PTC,PTC Inc.,Information Technology,0000857005
PSA,Public Storage,Real Estate,0001393311
PHM,PulteGroup,Consumer Discretionary,0000822416
PWR,Quanta Services,Industrials,0001050915
QCOM,Qualcomm,Information Technology,0000804328
DGX,Quest Diagnostics,Health Care,0001022079
Q,Qnity Electronics,Information Technology,0002058873
RL,Ralph Lauren Corporation,Consumer Discretionary,0001037038
RJF,Raymond James Financial,Financials,0000720005
RTX,RTX Corporation,Industrials,0000101829
O,Realty Income,Real Estate,0000726728
REG,Regency Centers,Real Estate,0000910606
REGN,Regeneron Pharmaceuticals,Health Care,0000872589
RF,Regions Financial Corporation,Financials,0001281761
RSG,Republic Services,Industrials,0001060391
RMD,ResMed|,Health Care,0000943819
RVTY,Revvity,Health Care,0000031791
HOOD,Robinhood Markets,Financials,0001783879
ROK,Rockwell Automation,Industrials,0001024478
ROL,"Rollins, Inc.",Industrials,0000084839
ROP,Roper Technologies,Information Technology,0000882835
ROST,Ross Stores,Consumer Discretionary,0000745732
RCL,Royal Caribbean Group,Consumer Discretionary,0000884887
SPGI,S&P Global,Financials,0000064040
CRM,Salesforce,Information Technology,0001108524
SNDK,Sandisk,Information Technology,0002023554
SBAC,SBA Communications,Real Estate,0001034054
SLB,Schlumberger,Energy,0000087347
STX,Seagate Technology,Information Technology,0001137789
SRE,Sempra,Utilities,0001032208
NOW,ServiceNow,Information Technology,0001373715
SHW,Sherwin-Williams,Materials,0000089800
SPG,Simon Property Group,Real Estate,0001063761
SWKS,Skyworks Solutions,Information Technology,0000004127
SJM,J.M. Smucker Company (The),Consumer Staples,0000091419
SW,Smurfit Westrock,Materials,0002005951
SNA,Snap-on,Industrials,0000091440
SOLV,Solventum,Health Care,0001964738
SO,Southern Company,Utilities,0000092122
LUV,Southwest Airlines,Industrials,0000092380
SWK,Stanley Black & Decker,Industrials,0000093556
SBUX,Starbucks,Consumer Discretionary,0000829224
STT,State Street Corporation,Financials,0000093751
STLD,Steel Dynamics,Materials,0001022671
STE,Steris,Health Care,0001757898
SYK,Stryker Corporation,Health Care,0000310764
SMCI,Supermicro,Information Technology,0001375365
SYF,Synchrony Financial,Financials,0001601712
SNPS,Synopsys,Information Technology,0000883241
SYY,Sysco,Consumer Staples,0000096021
TMUS,T-Mobile US,Communication Services,0001283699
TROW,T. Rowe Price,Financials,0001113169
TTWO,Take-Two Interactive,Communication Services,0000946581
TPR,"Tapestry, Inc.",Consumer Discretionary,0001116132
TRGP,Targa Resources,Energy,0001389170
TGT,Target Corporation,Consumer Staples,0000027419
TEL,TE Connectivity,Information Technology,0001385157
TDY,Teledyne Technologies,Information Technology,0001094285
TER,Teradyne,Information Technology,0000097210
TSLA,"Tesla, Inc.",Consumer Discretionary,0001318605
TXN,Texas Instruments,Information Technology,0000097476
TPL,Texas Pacific Land Corporation,Energy,0001811074
TXT,Textron,Industrials,0000217346
TMO,Thermo Fisher Scientific,Health Care,0000097745
TJX,TJX Companies,Consumer Discretionary,0000109198
TKO,TKO Group Holdings,Communication Services,0001973266
TTD,Trade Desk (The),Communication Services,0001671933
TSCO,Tractor Supply,Consumer Discretionary,0000916365
TT,Trane Technologies,Industrials,0001466258
TDG,TransDigm Group,Industrials,0001260221
TRV,Travelers Companies (The),Financials,0000086312
TRMB,Trimble Inc.,Information Technology,0000864749
TFC,Truist Financial,Financials,0000092230
TYL,Tyler Technologies,Information Technology,0000860731
TSN,Tyson Foods,Consumer Staples,0000100493
USB,U.S. Bancorp,Financials,0000036104
UBER,Uber,Industrials,0001543151
UDR,"UDR, Inc.",Real Estate,0000074208
ULTA,Ulta Beauty,Consumer Discretionary,0001403568
UNP,Union Pacific Corporation,Industrials,0000100885
UAL,United Airlines Holdings,Industrials,0000100517
UPS,United Parcel Service,Industrials,0001090727
URI,United Rentals,Industrials,0001067701
UNH,UnitedHealth Group,Health Care,0000731766
UHS,Universal Health Services,Health Care,0000352915
VLO,Valero Energy,Energy,0001035002
VEEV,Veeva Systems,Health Care,0001393052
VTR,Ventas,Real Estate,0000740260
VLTO,Veralto,Industrials,0001967680
VRSN,Verisign,Information Technology,0001014473
VRSK,Verisk Analytics,Industrials,0001442145
VZ,Verizon,Communication Services,0000732712
VRTX,Vertex Pharmaceuticals,Health Care,0000875320
VRT,Vertiv,Industrials,0001674101
VTRS,Viatris,Health Care,0001792044
VICI,Vici Properties,Real Estate,0001705696
V,Visa Inc.,Financials,0001403161
VST,Vistra Corp.,Utilities,0001692819
VMC,Vulcan Materials Company,Materials,0001396009
WRB,W. R. Berkley Corporation,Financials,0000011544
GWW,W. W. Grainger,Industrials,0000277135
WAB,Wabtec,Industrials,0000943452
WMT,Walmart,Consumer Staples,0000104169
DIS,Walt Disney Company (The),Communication Services,0001744489
WBD,Warner Bros. Discovery,Communication Services,0001437107
WM,Waste Management,Industrials,0000823768
WAT,Waters Corporation,Health Care,0001000697
WEC,WEC Energy Group,Utilities,0000783325
WFC,Wells Fargo,Financials,0000072971
WELL,Welltower,Real Estate,0000766704
WST,West Pharmaceutical Services,Health Care,0000105770
WDC,Western Digital,Information Technology,0000106040
WY,Weyerhaeuser,Real Estate,0000106535
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,0000719955
WMB,Williams Companies,Energy,0000107263
WTW,Willis Towers Watson,Financials,0001140536
WDAY,"Workday, Inc.",Information Technology,0001327811
WYNN,Wynn Resorts,Consumer Discretionary,0001174922
XEL,Xcel Energy,Utilities,0000072903
XYL,Xylem Inc.,Industrials,0001524472
YUM,Yum! Brands,Consumer Discretionary,0001041061
ZBRA,Zebra Technologies,Information Technology,0000877212
ZBH,Zimmer Biomet,Health Care,0001136869
ZTS,Zoetis,Health Care,0001555280
